site,plat_nomor,tipe_merk,kategori_kendaraan,tahun,customer,odometer_saat_ini
MAKASSAR,B 1324 EOH,TOYOTA AVANZA ,pickup_suv,,PT. UT,338000
MAKASSAR,B 1899 EKR,TOYOTA AVANZA ,pickup_suv,,PT. UT,252000
M. LAWA,B 2213 UYO,TOYOTA INNOVA REBORN,pickup_suv,,PT. UT,200000
SMD,B 2411 UFY,TOYOTA AVANZA VELOZ,pickup_suv,,PT. BERKARYA,200000
BPN,B 2444 UIL,TOYOTA INNOVA ZENIX,pickup_suv,,PT. KMSI,124500
LOREH,B 2468 UZT,TOYOTA INNOVA REBORN,pickup_suv,,PT. UT,200000
BPN,B 2533 UIY,TOYOTA INNOVA ZENIX,pickup_suv,,PT. KMSI,120241
MKS,B 2846 UOJ,TOYOTA INNOVA REBORN,pickup_suv,,PT. RAJA REMAN,91.805
M. LAWA,B 2898 UYP,TOYOTA INNOVA REBORN,pickup_suv,,PT. UT,200000
MAKASSAR,DA 1206 TBI,TOYOTA INNOVA REBORN,pickup_suv,,PT. NAJR,142.374
KENDARI,DA 1365 O,TOYOTA FORTUNER,pickup_suv,,PT. UT,150000
TJ. REDEB,DA 1550 OA,TOYOTA FORTUNER,pickup_suv,,PT. UT,200000
BPN,DA 7230 HG,MITSUBISHI CANTER,truk_ringan,,PT. NAJR,248000
ADARO,DA 7376 HG,MITSUBISHI CANTER,truk_ringan,,PT. UT,80000
ADARO,DA 7378 HG,MITSUBISHI CANTER,truk_ringan,,PT. UT,95000
MKS,DA 8141 BR,ISUZU D-MAX DC,pickup_suv,,PT. RAJA REMAN,128.659
MANADO,DB 8214 LO,TOYOTA HILUX DC,pickup_suv,,PT. UT,71047
MAKASSAR,DB 8232 LO,TOYOTA HILUX DC,pickup_suv,,PT. NAJR,53599
MANADO,DB 8631 LO,TOYOTA HILUX DC,pickup_suv,,PT. UT,51632
SMD,DD 8003 UC,TOYOTA HILUX DC,pickup_suv,,PT. UT,200000
