plat_nomor,nama_item,last_done_km,last_done_date,catatan
B 1324 EOH,Accu,338000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1324 EOH,Ban Belakang,338000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1324 EOH,Ban Depan,338000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1324 EOH,Brake Pad,318.779,2025-01-27,dari histori Complete
B 1324 EOH,Brake Shoe,318.779,2025-02-22,dari histori Complete
B 1324 EOH,Flushing Injector,338000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1324 EOH,Flushing Radiator,338000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1324 EOH,Flushing Rem,338000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1324 EOH,Flushing Steering,338000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1324 EOH,Greasing,318.779,2025-10-04,dari histori Complete
B 1324 EOH,Kampas Kopling Set,338000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1324 EOH,Karpet Dasar,338000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1324 EOH,Karpet Karet,338000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1324 EOH,PM Check / Reguler Services,338000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1324 EOH,Sarung Jok,338000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1324 EOH,Service A,338000,2025-07-06,dari histori Complete
B 1324 EOH,Service B,328000,2025-09-10,dari histori Complete
B 1324 EOH,V-Belt,338.41,2024-02-08,dari histori Complete
B 1324 EOH,Wiper Blade,318.779,2025-02-07,dari histori Complete
B 1899 EKR,Accu,252000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1899 EKR,Ban Belakang,241867,2024-11-23,dari histori Complete
B 1899 EKR,Ban Depan,252000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1899 EKR,Brake Pad,252000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1899 EKR,Brake Shoe,252000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1899 EKR,Flushing Injector,241867,2025-07-18,dari histori Complete
B 1899 EKR,Flushing Radiator,241867,2025-07-18,dari histori Complete
B 1899 EKR,Flushing Rem,241867,2025-07-18,dari histori Complete
B 1899 EKR,Flushing Steering,241867,2025-07-18,dari histori Complete
B 1899 EKR,Greasing,241867,2025-07-18,dari histori Complete
B 1899 EKR,Kampas Kopling Set,241867,2024-06-15,dari histori Complete
B 1899 EKR,Karpet Dasar,252000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1899 EKR,Karpet Karet,252000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1899 EKR,PM Check / Reguler Services,252000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1899 EKR,Sarung Jok,252000,,TIDAK ADA RIWAYAT COMPLETE - perlu dicek manual
B 1899 EKR,Service A,159619,2025-08-10,dari histori Complete
B 1899 EKR,Service B,252000,2025-04-19,dari histori Complete
B 1899 EKR,V-Belt,241867,2023-11-21,dari histori Complete
B 1899 EKR,Wiper Blade,241867,2024-11-20,dari histori Complete
