site,plat_nomor,tipe_merk,kategori_kendaraan,tahun,customer,plat_lama
BPN,B 2444 UIL,"Toyota Kijang Innova Zenix 2,0G CVT",pickup_suv,2023,PT. KMSI,KT 1077 WK
BPN,B 2533 UIY,"Toyota Kijang Innova Zenix 2,0G CVT",pickup_suv,2023,PT. KMSI,KT 1148 WI
BPN,KT 8404 YR,"Toyota All New Hilux 2,4G DC 4X4 M",pickup_suv,2021,PT. UT,
BPN,KT 8620 YR,"Toyota All New Hilux 2,4G DC 4X4 M",pickup_suv,2021,PT. UT,
BPN,KT 8619 YR,"Toyota All New Hilux 2,4G DC 4X4 M",pickup_suv,2021,PT. UT,
BPN,KT 8621 YR,"Toyota All New Hilux 2,4G DC 4X4 M",pickup_suv,2021,PT. UT,
BPN,KT 8932 ZA,"Toyota All New Hilux 2,4G DC 4X4 M",pickup_suv,2022,PT. UT,
BPN,KT 8942 ZE,"Toyota All New Hilux 2,4G DC 4X4 M",pickup_suv,2023,PT. UT,
BPN,KT 1538 HC,"Daihatsu New Terios 1,5 R A",pickup_suv,2025,PT. UT,KT 1120 YR
BPN,KT 8926 ZK,"Toyota Hilux Rangga Pick Up 2,0 STD M",pickup_suv,2025,PT. UT,KT 8485 XB
BPN,KT 7233 K,"Isuzu NQR 71 EC E2-1 5,0 Bus",bus,2018,PT. KRA,
BPN,KT 7236 K,"Isuzu NQR 71 EC E2-1 5,0 Bus",bus,2018,PT. KRA,
BPN,KT 8870 YP,"Daihatsu Gran Max PU AC PS 1,5 FH EA",pickup_suv,2020,PT. TRIATRA,
SANGA SANGA,KT 8714 YK,"Toyota All New Hilux 2,4 G DC 4X4 M",pickup_suv,2018,PT. TRIATRA,
JAKARTA,B 1493 EOG,"Toyota Kijang Innova 2,0E A",pickup_suv,2015,PT. INTERNUSA JAYARAYA ABADI,
JAKARTA,B 2317 UKL,"Toyota Grand New Avanza 1,3 G M",pickup_suv,2018,PT. INTERNUSA JAYARAYA ABADI,
JAKARTA,B 2229 UOK,"Toyota All New Innova 2,0 G A",pickup_suv,2019,PT. INTERNUSA JAYARAYA ABADI,
JAKARTA,B 1695 EOS,Toyota All New Innova 2.0 G A,pickup_suv,2016,PT. INTERNUSA JAYARAYA ABADI,
JAKARTA,B 1984 EJA,"Toyota Fortuner 2,7V Automatic TCN51",pickup_suv,2011,PT. INTERNUSA JAYARAYA ABADI,
JAKARTA,B 1327 EOH,Toyota Grand New Avanza 1.3 G M,pickup_suv,2015,PT. NAJR,
SANGA SANGA,KT 7564 KA,"Isuzu NLR 55B LX Mikrobus 2,771 (20 Seat + AC)",bus,2019,PT. TRIATRA,KT 7524 K
SANGATTA,KT 8154 YH,"Toyota All New Hilux 2,4E DC 4X4 M",pickup_suv,2018,PT. NAJR,KT 8507 NR
BPN,KT 8836 YQ,"Toyota All New Hilux 2,4 G DC 4X4 M",pickup_suv,2021,PT. NAJR,
LOREH,KT 1619 YI,"Toyota All New Fortuner 2,4 VRZ 4X4 A",pickup_suv,2021,PT. UT,
LOREH,KT 8526 YT,"Toyota All New Hilux 2,393 CC G DC 4X4 M",pickup_suv,2021,PT. UT,
LOREH,KT 8527 YT,"Toyota All New Hilux 2,393 CC G DC 4X4 M",pickup_suv,2021,PT. UT,
LOREH,KT 8039 YV,"Toyota All New Hilux 2,393 CC G DC 4X4 M",pickup_suv,2022,PT. UT,
LOREH,KT 8041 YV,"Toyota All New Hilux 2,393 CC G DC 4X4 M",pickup_suv,2022,PT. UT,
LOREH,KT 8042 YV,"Toyota All New Hilux 2,393 CC G DC 4X4 M",pickup_suv,2022,PT. UT,
LOREH,KT 8322 YV,"Toyota All New Hilux 2,393 CC SC 4X4 M",pickup_suv,2022,PT. UT,
LOREH,B 2468 UZT,"Toyota All New Innova Reborn 2,4 G M",pickup_suv,2022,PT. UT,
LOREH,KT 8417 YS,"Mitsubishi All New Triton 2,442 GLS DC 4X4 M",pickup_suv,2021,PT. NAJR - GS,
LOREH,KT 8036 YV,"Toyota All New Hilux 2,393 G DC 4X4 M",pickup_suv,2021,PT. NAJR - GS,
MUARA LAWA,KT 8475 YZ,"Toyota All New Hilux 2,393 CC G DC 4X4 M",pickup_suv,2022,PT. UT - Damai /,
MUARA LAWA,KT 8164 ZA,"Toyota All New Hilux 2,393 CC G DC 4X4 M",pickup_suv,2022,PT. UT - Damai /,
MUARA LAWA,KT 8192 YT,"Toyota All New Hilux Pick Up 2,4 4X4 M",pickup_suv,2021,PT. UT - Damai /,
MUARA LAWA,KT 8976 YZ,"Toyota All New Hilux 2,393 E DC CC 4X4 M",pickup_suv,2022,PT. UT - Damai /,
MUARA LAWA,KT 8157 ZA,"Toyota All New Hilux 2,4G DC 4X4 M",pickup_suv,2022,PT. UT - Damai /,
MUARA LAWA,KT 8870 ZE,"Toyota All New Hilux 2,4G DC 4X4 M",pickup_suv,2023,PT. UT - Damai /,
MUARA LAWA,KT 8307 ZF,"Toyota All New Hilux SC 2,4 4X4 M",pickup_suv,2023,PT. UT - Damai /,
MUARA LAWA,B 2213 UYO,"Toyota Innova Reborn 2,4G M",pickup_suv,2024,PT. UT - Damai /,B 1045 BCF
MUARA LAWA,DD 8468 UY,"Toyota All New Hilux 2,4G DC 4X4 M",pickup_suv,2023,PT. UT - Damai /,DD 1407 XX
